detectorType, descriptorType, n_detected_keypoints, n_matched_keypoints, time
SHITOMASI,BRIEF,118,125,0.442
SHITOMASI,BRIEF,123,118,0.455355
SHITOMASI,BRIEF,120,123,0.455717
SHITOMASI,BRIEF,120,120,0.451108
SHITOMASI,BRIEF,113,120,0.449082
SHITOMASI,BRIEF,114,113,0.45095
SHITOMASI,BRIEF,123,114,0.454944
SHITOMASI,BRIEF,111,123,0.456451
SHITOMASI,BRIEF,112,111,0.448968
SHITOMASI,ORB,118,125,0.0513074
SHITOMASI,ORB,123,118,0.0527553
SHITOMASI,ORB,120,123,0.100364
SHITOMASI,ORB,120,120,0.052078
SHITOMASI,ORB,113,120,0.0486464
SHITOMASI,ORB,114,113,0.0530727
SHITOMASI,ORB,123,114,0.0570152
SHITOMASI,ORB,111,123,0.0529399
SHITOMASI,ORB,112,111,0.0579671
SHITOMASI,FREAK,118,125,0.100814
SHITOMASI,FREAK,123,118,0.0935165
SHITOMASI,FREAK,120,123,0.0944168
SHITOMASI,FREAK,120,120,0.0915585
SHITOMASI,FREAK,113,120,0.0937142
SHITOMASI,FREAK,114,113,0.0932838
SHITOMASI,FREAK,123,114,0.0945772
SHITOMASI,FREAK,111,123,0.0937642
SHITOMASI,FREAK,112,111,0.094862
FAST,BRIEF,152,149,0.451188
FAST,BRIEF,150,152,0.450262
FAST,BRIEF,155,150,0.452048
FAST,BRIEF,149,155,0.44493
FAST,BRIEF,149,149,0.447676
FAST,BRIEF,156,149,0.446128
FAST,BRIEF,150,156,0.442848
FAST,BRIEF,138,150,0.442138
FAST,BRIEF,143,138,0.445017
FAST,ORB,152,149,0.0517344
FAST,ORB,150,152,0.0508243
FAST,ORB,155,150,0.0512199
FAST,ORB,149,155,0.0494062
FAST,ORB,149,149,0.0498005
FAST,ORB,156,149,0.0496358
FAST,ORB,150,156,0.0444192
FAST,ORB,138,150,0.0476935
FAST,ORB,143,138,0.0499843
FAST,FREAK,152,149,0.100788
FAST,FREAK,150,152,0.10043
FAST,FREAK,155,150,0.100063
FAST,FREAK,149,155,0.100142
FAST,FREAK,149,149,0.0991226
FAST,FREAK,156,149,0.0976591
FAST,FREAK,150,156,0.0938401
FAST,FREAK,138,150,0.0983203
FAST,FREAK,143,138,0.0992482
BRISK,BRIEF,282,264,0.947069
BRISK,BRIEF,282,282,0.945195
BRISK,BRIEF,277,282,0.947458
BRISK,BRIEF,297,277,0.948152
BRISK,BRIEF,279,297,0.942156
BRISK,BRIEF,289,279,0.944428
BRISK,BRIEF,272,289,0.932357
BRISK,BRIEF,266,272,0.939672
BRISK,BRIEF,254,266,0.942664
BRISK,ORB,282,264,0.556549
BRISK,ORB,282,282,0.554927
BRISK,ORB,277,282,0.55335
BRISK,ORB,297,277,0.555871
BRISK,ORB,279,297,0.550186
BRISK,ORB,289,279,0.551066
BRISK,ORB,272,289,0.542779
BRISK,ORB,266,272,0.547394
BRISK,ORB,254,266,0.54896
BRISK,FREAK,282,242,0.602569
BRISK,FREAK,282,260,0.59861
BRISK,FREAK,277,263,0.599339
BRISK,FREAK,297,264,0.599618
BRISK,FREAK,279,274,0.595395
BRISK,FREAK,289,256,0.599564
BRISK,FREAK,272,269,0.590492
BRISK,FREAK,266,255,0.591199
BRISK,FREAK,254,243,0.592152
ORB,BRIEF,102,83,0.404226
ORB,BRIEF,106,93,0.406647
ORB,BRIEF,113,95,0.405624
ORB,BRIEF,109,103,0.406578
ORB,BRIEF,125,101,0.408074
ORB,BRIEF,130,116,0.407393
ORB,BRIEF,129,120,0.4079
ORB,BRIEF,127,120,0.406199
ORB,BRIEF,128,119,0.40589
ORB,ORB,102,92,0.0164999
ORB,ORB,106,102,0.0159571
ORB,ORB,113,106,0.0166937
ORB,ORB,109,113,0.017262
ORB,ORB,125,109,0.0175405
ORB,ORB,130,125,0.0174392
ORB,ORB,129,130,0.015832
ORB,ORB,127,129,0.0162431
ORB,ORB,128,127,0.0169122
ORB,FREAK,102,46,0.0625809
ORB,FREAK,106,53,0.0599289
ORB,FREAK,113,56,0.0636579
ORB,FREAK,109,65,0.0597238
ORB,FREAK,125,55,0.061424
ORB,FREAK,130,64,0.0609479
ORB,FREAK,129,66,0.0590797
ORB,FREAK,127,71,0.0614076
ORB,FREAK,128,73,0.0619032
detectorType, descriptorType, n_detected_keypoints, n_matched_keypoints, time
SHITOMASI,SIFT,118,125,0.51509
SHITOMASI,SIFT,123,118,0.452048
SHITOMASI,SIFT,120,123,0.484979
SHITOMASI,SIFT,120,120,0.404929
SHITOMASI,SIFT,113,120,0.362076
SHITOMASI,SIFT,114,113,0.387242
SHITOMASI,SIFT,123,114,0.368023
SHITOMASI,SIFT,111,123,0.34734
SHITOMASI,SIFT,112,111,0.375308
FAST,SIFT,152,149,0.0878268
FAST,SIFT,150,152,0.0758144
FAST,SIFT,155,150,0.0813674
FAST,SIFT,149,155,0.083765
FAST,SIFT,149,149,0.0867385
FAST,SIFT,156,149,0.0839494
FAST,SIFT,150,156,0.0810404
FAST,SIFT,138,150,0.082865
